DATE,JPNLORSGPTDSTSAM
2005-01-01,94.1105484156117
2005-02-01,94.2023503133326
2005-03-01,94.2921777673283
2005-04-01,94.3798862792986
2005-05-01,94.4653314364382
2005-06-01,94.5483701265383
2005-07-01,94.6288617740216
2005-08-01,94.7066701688953
2005-09-01,94.7816653166357
2005-10-01,94.8537253087948
2005-11-01,94.9227362403605
2005-12-01,94.9885921463796
2006-01-01,95.0511949585098
2006-02-01,95.1104544395294
2006-03-01,95.166288138865
2006-04-01,95.2186213696918
2006-05-01,95.2673872062616
2006-06-01,95.312526503742
2006-07-01,95.3539879409587
2006-08-01,95.391727249187
2006-09-01,95.4257064625345
2006-10-01,95.4558931908134
2006-11-01,95.4822635977138
2006-12-01,95.504805394349
2007-01-01,95.5235208459239
2007-02-01,95.5384282059796
2007-03-01,95.5495631683774
2007-04-01,95.5569803358217
2007-05-01,95.5607532049511
2007-06-01,95.5609741689714
2007-07-01,95.5577545377763
2007-08-01,95.5512231890458
2007-09-01,95.5415252350877
2007-10-01,95.5288207061917
2007-11-01,95.513285625683
2007-12-01,95.4951131006911
2008-01-01,95.4745144276422
2008-02-01,95.4517200208526
2008-03-01,95.4269803549509
2008-04-01,95.400566920539
2008-05-01,95.3727709162972
2008-06-01,95.3439019559304
2008-07-01,95.3142844532239
2008-08-01,95.2842571152185
2008-09-01,95.2541701035286
2008-10-01,95.2243822028894
2008-11-01,95.1952551895533
2008-12-01,95.1671481735426
2009-01-01,95.1404119107966
2009-02-01,95.1153775048508
2009-03-01,95.0923449354608
2009-04-01,95.0715745127707
2009-05-01,95.0532886788333
2009-06-01,95.0376768656048
2009-07-01,95.0249002906358
2009-08-01,95.0150919973348
2009-09-01,95.0083568636476
2009-10-01,95.0047715767525
2009-11-01,95.004387728065
2009-12-01,95.0072348588758
2010-01-01,95.013323457992
2010-02-01,95.02264742691
2010-03-01,95.0351865041144
2010-04-01,95.0509086503713
2010-05-01,95.0697727700309
2010-06-01,95.0917313951517
2010-07-01,95.1167333348097
2010-08-01,95.1447277606655
2010-09-01,95.175668250742
2010-10-01,95.2095167946903
2010-11-01,95.2462416683097
2010-12-01,95.2858152798662
2011-01-01,95.328211986945
2011-02-01,95.3734052714338
2011-03-01,95.4213648768453
2011-04-01,95.4720539063065
2011-05-01,95.5254263274678
2011-06-01,95.5814244394662
2011-07-01,95.6399763008866
2011-08-01,95.7010010380218
2011-09-01,95.764414104163
2011-10-01,95.8301324941261
2011-11-01,95.8980739675609
2011-12-01,95.968156253085
2012-01-01,96.0402962334093
2012-02-01,96.1144127252071
2012-03-01,96.1904292423884
2012-04-01,96.2682767445328
2012-05-01,96.3478908256503
2012-06-01,96.4292088708628
2012-07-01,96.5121671801681
2012-08-01,96.5966994500445
2012-09-01,96.6827352342908
2012-10-01,96.7701983841005
2012-11-01,96.8590062265076
2012-12-01,96.9490687276933
2013-01-01,97.040287641703
2013-02-01,97.1325590943496
2013-03-01,97.2257761589067
2013-04-01,97.3198314251513
2013-05-01,97.4146184729682
2013-06-01,97.510033343703
2013-07-01,97.6059760102148
2013-08-01,97.7023520528373
2013-09-01,97.7990743355767
2013-10-01,97.8960646831933
2013-11-01,97.9932529122359
2013-12-01,98.0905758555805
2014-01-01,98.1879763807497
2014-02-01,98.28540463667
2014-03-01,98.3828193030418
2014-04-01,98.4801888425671
2014-05-01,98.5774863688716
2014-06-01,98.674684457948
2014-07-01,98.7717499028552
2014-08-01,98.8686431832955
2014-09-01,98.965317934138
2014-10-01,99.0617204133034
2014-11-01,99.1577898948864
2014-12-01,99.2534590663554
2015-01-01,99.3486544304058
2015-02-01,99.4432993672779
2015-03-01,99.5373172005358
2015-04-01,99.6306342666751
2015-05-01,99.7231796192808
2015-06-01,99.8148847373557
2015-07-01,99.9056832383553
2015-08-01,99.9955104167778
2015-09-01,100.084302787709
2015-10-01,100.171997635896
2015-11-01,100.258531978111
2015-12-01,100.343841529055
2016-01-01,100.427859671559
2016-02-01,100.510518646459
2016-03-01,100.591750754938
2016-04-01,100.671489573557
2016-05-01,100.749668991455
2016-06-01,100.826222254755
2016-07-01,100.901081019017
2016-08-01,100.97417524168
2016-09-01,101.045433087781
2016-10-01,101.114780849563
2016-11-01,101.182142860608
2016-12-01,101.247441425141
2017-01-01,101.310596763194
2017-02-01,101.371528508886
2017-03-01,101.430157226434
2017-04-01,101.486405943867
2017-05-01,101.540200685276
2017-06-01,101.591471021254
2017-07-01,101.640150637762
2017-08-01,101.686179065131
2017-09-01,101.729503424229
2017-10-01,101.770080189217
2017-11-01,101.807875272365
2017-12-01,101.842864125965
2018-01-01,101.875031861499
2018-02-01,101.904373155899
2018-03-01,101.930892174966
2018-04-01,101.954602514032
2018-05-01,101.97552787225
2018-06-01,101.993702743993
2018-07-01,102.009173126894
2018-08-01,102.021995017823
2018-09-01,102.032232921642
2018-10-01,102.039958373304
2018-11-01,102.045249570485
2018-12-01,102.048191022956
2019-01-01,102.048873218464
2019-02-01,102.04739305494
2019-03-01,102.043854288214
2019-04-01,102.038367994501
2019-05-01,102.031053497046
2019-06-01,102.022039304992
2019-07-01,102.011464063584
2019-08-01,101.999477083528
2019-09-01,101.986238881055
2019-10-01,101.971921727938
2019-11-01,101.956702751743
2019-12-01,101.940756987848
2020-01-01,101.924250382275
2020-02-01,101.907340850486
2020-03-01,101.890179341488
2020-04-01,101.872910905539
2020-05-01,101.85567459919
2020-06-01,101.838603196253
2020-07-01,101.82182265646
2020-08-01,101.805451169532
2020-09-01,101.789598180115
2020-10-01,101.774363416237
