"CubeId";"concon"
"PublishingDate";"2023-10-23 09:00"

"Date";"D0";"Value"
"2008-Q1";"EW";"-10.10919435"
"2008-Q1";"VP";"91.94444444"
"2008-Q1";"EP";"87.49455529"
"2008-Q1";"SA";"-12.80934506"
"2008-Q1";"EA";"12.52446184"
"2008-Q1";"VL";"1.45478321"
"2008-Q1";"EL";"4.98026355"
"2008-Q1";"ASSS";"43.82837122"
"2008-Q1";"ZA";"-10.60526282"
"2008-Q1";"ESSS";"31.97026022"
"2008-Q1";"AIK";"3.5792169"
"2008-Q1";"NIK";"-3.5698526"
"2008-Q2";"VW";"2.36294896"
"2008-Q2";"EW";"-22.51133808"
"2008-Q2";"VP";"96.02954755"
"2008-Q2";"EP";"83.72146408"
"2008-Q2";"SA";"-27.81952599"
"2008-Q2";"EA";"24.59485224"
"2008-Q2";"VL";"-4.92487524"
"2008-Q2";"EL";"5.94988159"
"2008-Q2";"ASSS";"50.65853633"
"2008-Q2";"ZA";"-5.4474877"
"2008-Q2";"ESSS";"36.63177926"
"2008-Q2";"AIK";"-1.13113237"
"2008-Q2";"NIK";"-6.73345486"
"2008-Q3";"VW";"-25.09469697"
"2008-Q3";"EW";"-44.67611971"
"2008-Q3";"VP";"118.78453039"
"2008-Q3";"EP";"99.19078004"
"2008-Q3";"SA";"-23.45886817"
"2008-Q3";"EA";"33.94941634"
"2008-Q3";"VL";"-15.69310164"
"2008-Q3";"EL";"-7.51142054"
"2008-Q3";"ASSS";"44.30648021"
"2008-Q3";"ZA";"-21.31713875"
"2008-Q3";"ESSS";"19.88636364"
"2008-Q3";"AIK";"-16.56264824"
"2008-Q3";"NIK";"-22.29944516"
"2008-Q4";"VW";"-57.4108818"
"2008-Q4";"EW";"-56.76740662"
"2008-Q4";"VP";"110.14760148"
"2008-Q4";"EP";"70.32501911"
"2008-Q4";"SA";"-60.04511333"
"2008-Q4";"EA";"75.85877863"
"2008-Q4";"VL";"-12.49861208"
"2008-Q4";"EL";"-7.18598057"
"2008-Q4";"ASSS";"38.13881614"
"2008-Q4";"ZA";"-21.32015951"
"2008-Q4";"ESSS";"3.96600567"
"2008-Q4";"AIK";"-33.96154004"
"2008-Q4";"NIK";"-24.4430397"
"2009-Q1";"VW";"-63.98503274"
"2009-Q1";"EW";"-58.32720707"
"2009-Q1";"VP";"35.11235955"
"2009-Q1";"EP";"-4.29032502"
"2009-Q1";"SA";"-97.03352789"
"2009-Q1";"EA";"110.85714286"
"2009-Q1";"VL";"-9.88479272"
"2009-Q1";"EL";"0.49900145"
"2009-Q1";"ASSS";"37.5545851"
"2009-Q1";"ZA";"-6.13779788"
"2009-Q1";"ESSS";"14.44976077"
"2009-Q1";"AIK";"-38.55889693"
"2009-Q1";"NIK";"-18.46269906"
"2009-Q2";"VW";"-96.30655586"
"2009-Q2";"EW";"-67.1927734"
"2009-Q2";"VP";"29.98137803"
"2009-Q2";"EP";"10.98105227"
"2009-Q2";"SA";"-127.17039899"
"2009-Q2";"EA";"130.3142329"
"2009-Q2";"VL";"-11.94010396"
"2009-Q2";"EL";"-7.11358984"
"2009-Q2";"ASSS";"36.31744607"
"2009-Q2";"ZA";"-2.33498817"
"2009-Q2";"ESSS";"4.01119403"
"2009-Q2";"AIK";"-50.15235053"
"2009-Q2";"NIK";"-22.14536384"
"2009-Q3";"VW";"-100.27829314"
"2009-Q3";"EW";"-32.16714904"
"2009-Q3";"VP";"39.1627907"
"2009-Q3";"EP";"24.48206689"
"2009-Q3";"SA";"-127.4323965"
"2009-Q3";"EA";"117.18020542"
"2009-Q3";"VL";"-14.32607864"
"2009-Q3";"EL";"-7.38518529"
"2009-Q3";"ASSS";"38.67017208"
"2009-Q3";"ZA";"1.46578628"
"2009-Q3";"ESSS";"1.68539326"
"2009-Q3";"AIK";"-38.76178662"
"2009-Q3";"NIK";"-13.10315667"
"2009-Q4";"VW";"-74.69654528"
"2009-Q4";"EW";"22.0596599"
"2009-Q4";"VP";"27.53222836"
"2009-Q4";"EP";"35.79030154"
"2009-Q4";"SA";"-117.17436567"
"2009-Q4";"EA";"87.91312559"
"2009-Q4";"VL";"-12.02054165"
"2009-Q4";"EL";"2.17751478"
"2009-Q4";"ASSS";"36.27346805"
"2009-Q4";"ZA";"0.61009812"
"2009-Q4";"ESSS";"13.00280636"
"2009-Q4";"AIK";"-12.66828614"
"2009-Q4";"NIK";"3.20668279"
"2010-Q1";"VW";"-58.29471733"
"2010-Q1";"EW";"22.66440482"
"2010-Q1";"VP";"32.87165282"
"2010-Q1";"EP";"39.5234978"
"2010-Q1";"SA";"-105.00648991"
"2010-Q1";"EA";"77.08920188"
"2010-Q1";"VL";"-16.8261097"
"2010-Q1";"EL";"3.72122465"
"2010-Q1";"ASSS";"34.93614611"
"2010-Q1";"ZA";"5.7825334"
"2010-Q1";"ESSS";"19.42110177"
"2010-Q1";"AIK";"-7.82061766"
"2010-Q1";"NIK";"3.83551329"
"2010-Q2";"VW";"-7.35849057"
"2010-Q2";"EW";"40.7295236"
"2010-Q2";"VP";"54.36619718"
"2010-Q2";"EP";"55.7227906"
"2010-Q2";"SA";"-72.41043404"
"2010-Q2";"EA";"8.44402277"
"2010-Q2";"VL";"-14.08866751"
"2010-Q2";"EL";"6.15786733"
"2010-Q2";"ASSS";"35.3205832"
"2010-Q2";"ZA";"-2.1396547"
"2010-Q2";"ESSS";"14.85335856"
"2010-Q2";"AIK";"13.32418168"
"2010-Q2";"NIK";"7.66476718"
"2010-Q3";"VW";"5.27289547"
"2010-Q3";"EW";"33.67835883"
"2010-Q3";"VP";"37.92784459"
"2010-Q3";"EP";"33.39348851"
"2010-Q3";"SA";"-56.86906521"
"2010-Q3";"EA";"6.26168224"
"2010-Q3";"VL";"-8.7575048"
"2010-Q3";"EL";"11.25132109"
"2010-Q3";"ASSS";"44.58655378"
"2010-Q3";"ZA";"3.03922277"
"2010-Q3";"ESSS";"27.12962963"
"2010-Q3";"AIK";"16.44940683"
"2010-Q3";"NIK";"9.80284947"
"2010-Q4";"VW";"15.72617946"
"2010-Q4";"EW";"22.67063845"
"2010-Q4";"VP";"49.07749077"
"2010-Q4";"EP";"46.64441237"
"2010-Q4";"SA";"-51.3486358"
"2010-Q4";"EA";"17.48582231"
"2010-Q4";"VL";"-9.99397157"
"2010-Q4";"EL";"4.41111933"
"2010-Q4";"ASSS";"38.17957414"
"2010-Q4";"ZA";"5.93520109"
"2010-Q4";"ESSS";"24.1509434"
"2010-Q4";"AIK";"8.43671972"
"2010-Q4";"NIK";"5.75574682"
"2011-Q1";"VW";"16.65089877"
"2011-Q1";"EW";"13.92952386"
"2011-Q1";"VP";"34.3836886"
"2011-Q1";"EP";"42.69941152"
"2011-Q1";"SA";"-42.97832313"
"2011-Q1";"EA";"11.56787763"
"2011-Q1";"VL";"-8.69594885"
"2011-Q1";"EL";"3.871489"
"2011-Q1";"ASSS";"40.3841738"
"2011-Q1";"ZA";"1.48543954"
"2011-Q1";"ESSS";"29.8013245"
"2011-Q1";"AIK";"9.00861493"
"2011-Q1";"NIK";"2.64762589"
"2011-Q2";"VW";"12.79178338"
"2011-Q2";"EW";"10.89481056"
"2011-Q2";"VP";"64.17359187"
"2011-Q2";"EP";"72.91754852"
"2011-Q2";"SA";"-23.77353244"
"2011-Q2";"EA";"16.31274131"
"2011-Q2";"VL";"-4.9202508"
"2011-Q2";"EL";"4.54915541"
"2011-Q2";"ASSS";"24.95688133"
"2011-Q2";"ZA";"-1.29780912"
"2011-Q2";"ESSS";"-9.06403941"
"2011-Q2";"AIK";"-2.48320369"
"2011-Q2";"NIK";"2.30647651"
"2011-Q3";"VW";"-5.09615385"
"2011-Q3";"EW";"-21.04351026"
"2011-Q3";"VP";"40.44526902"
"2011-Q3";"EP";"35.96046012"
"2011-Q3";"SA";"-55.75590198"
"2011-Q3";"EA";"53.73563218"
"2011-Q3";"VL";"-10.30513983"
"2011-Q3";"EL";"0.07990326"
"2011-Q3";"ASSS";"40.13180915"
"2011-Q3";"ZA";"-0.33759519"
"2011-Q3";"ESSS";"8.85956645"
"2011-Q3";"AIK";"-16.45991818"
"2011-Q3";"NIK";"-7.9015855"
"2011-Q4";"VW";"-41.62679426"
"2011-Q4";"EW";"-33.66606079"
"2011-Q4";"VP";"-6.36108513"
"2011-Q4";"EP";"6.39295317"
"2011-Q4";"SA";"-70.85042947"
"2011-Q4";"EA";"72.57751938"
"2011-Q4";"VL";"-7.25327344"
"2011-Q4";"EL";"-1.23635953"
"2011-Q4";"ASSS";"41.97631876"
"2011-Q4";"ZA";"14.6073975"
"2011-Q4";"ESSS";"15.71969697"
"2011-Q4";"AIK";"-22.94006068"
"2011-Q4";"NIK";"-6.88707406"
"2012-Q1";"VW";"-47.11359404"
"2012-Q1";"EW";"-30.50733279"
"2012-Q1";"VP";"9.88909427"
"2012-Q1";"EP";"27.60739922"
"2012-Q1";"SA";"-76.37859071"
"2012-Q1";"EA";"71.21354657"
"2012-Q1";"VL";"-12.64058254"
"2012-Q1";"EL";"-0.67280037"
"2012-Q1";"ASSS";"38.52592917"
"2012-Q1";"ZA";"11.61478889"
"2012-Q1";"ESSS";"21.50234742"
"2012-Q1";"AIK";"-20.22283308"
"2012-Q1";"NIK";"-8.0514817"
"2012-Q2";"VW";"-17.66190076"
"2012-Q2";"EW";"-5.20858023"
"2012-Q2";"VP";"31.64029975"
"2012-Q2";"EP";"37.18440286"
"2012-Q2";"SA";"-65.14826312"
"2012-Q2";"EA";"48.76805438"
"2012-Q2";"VL";"-10.23749168"
"2012-Q2";"EL";"-1.33179399"
"2012-Q2";"ASSS";"41.2931937"
"2012-Q2";"ZA";"0.32894031"
"2012-Q2";"ESSS";"19.91561181"
"2012-Q2";"AIK";"-8.8482042"
"2012-Q2";"NIK";"-4.1122314"
"2012-Q3";"VW";"-24.13793103"
"2012-Q3";"EW";"-19.02567999"
"2012-Q3";"VP";"21.62162162"
"2012-Q3";"EP";"30.25781013"
"2012-Q3";"SA";"-73.92352076"
"2012-Q3";"EA";"61.79159049"
"2012-Q3";"VL";"-9.96827181"
"2012-Q3";"EL";"-1.68172981"
"2012-Q3";"ASSS";"41.35183186"
"2012-Q3";"ZA";"-0.05219145"
"2012-Q3";"ESSS";"15.2173913"
"2012-Q3";"AIK";"-16.82040225"
"2012-Q3";"NIK";"-7.68196826"
"2012-Q4";"VW";"-21.98088619"
"2012-Q4";"EW";"-19.26470755"
"2012-Q4";"VP";"32.15211755"
"2012-Q4";"EP";"34.34045542"
"2012-Q4";"SA";"-69.30036107"
"2012-Q4";"EA";"66.54960492"
"2012-Q4";"VL";"-6.05287109"
"2012-Q4";"EL";"-0.56295989"
"2012-Q4";"ASSS";"49.30040857"
"2012-Q4";"ZA";"2.48433705"
"2012-Q4";"ESSS";"24.76190476"
"2012-Q4";"AIK";"-15.4038419"
"2012-Q4";"NIK";"-5.84905037"
"2013-Q1";"VW";"-9.73971453"
"2013-Q1";"EW";"-1.54079685"
"2013-Q1";"VP";"24.64375524"
"2013-Q1";"EP";"38.2972691"
"2013-Q1";"SA";"-72.65175669"
"2013-Q1";"EA";"62.08651399"
"2013-Q1";"VL";"-3.7417567"
"2013-Q1";"EL";"2.28508599"
"2013-Q1";"ASSS";"47.18186443"
"2013-Q1";"ZA";"4.11888696"
"2013-Q1";"ESSS";"34.12362405"
"2013-Q1";"AIK";"-6.8046502"
"2013-Q1";"NIK";"0.28035485"
"2013-Q2";"VW";"-6.62373505"
"2013-Q2";"EW";"0.24280862"
"2013-Q2";"VP";"32.48638838"
"2013-Q2";"EP";"37.89193821"
"2013-Q2";"SA";"-66.24516498"
"2013-Q2";"EA";"47.12328767"
"2013-Q2";"VL";"-11.28413242"
"2013-Q2";"EL";"1.04005532"
"2013-Q2";"ASSS";"41.14861587"
"2013-Q2";"ZA";"4.62244852"
"2013-Q2";"ESSS";"23.40036563"
