"Jahr","Monat","Kanton","Herkunftsland - Total Logiernachte"
"2018","Marz","Schweiz",3328071
"2018","April","Schweiz",2576811
"2018","Mai","Schweiz",2874763
"2018","Juni","Schweiz",3613500
"2018","Juli","Schweiz",4422988
"2018","August","Schweiz",4478634
"2018","September","Schweiz",3694903
"2018","Oktober","Schweiz",2998715
"2018","November","Schweiz",2025429
"2018","Dezember","Schweiz",2727098
"2019","Januar","Schweiz",2836384
"2019","Februar","Schweiz",3113363
"2019","Marz","Schweiz",3352687
"2019","April","Schweiz",2676948
"2019","Mai","Schweiz",3006949
"2019","Juni","Schweiz",3800082
"2019","Juli","Schweiz",4568810
"2019","August","Schweiz",4505292
"2019","September","Schweiz",3705035
"2019","Oktober","Schweiz",3060503
"2019","November","Schweiz",2085854
"2019","Dezember","Schweiz",2850132
"2020","Januar","Schweiz",3037206
"2020","Februar","Schweiz",3332477
"2020","Marz","Schweiz",1271032
"2020","April","Schweiz",218183
"2020","Mai","Schweiz",643629
"2020","Juni","Schweiz",1454831
"2020","Juli","Schweiz",3429514
"2020","August","Schweiz",3279916
"2020","September","Schweiz",2685206
"2020","Oktober","Schweiz",2068731
"2020","November","Schweiz",896433
"2020","Dezember","Schweiz",1413580
"2021","Januar","Schweiz",1273190
"2021","Februar","Schweiz",2015435
"2021","Marz","Schweiz",1878469
"2021","April","Schweiz",1998179
"2021","Mai","Schweiz",2027884
"2021","Juni","Schweiz",2282949
"2021","Juli","Schweiz",3648287
"2021","August","Schweiz",4176588
"2021","September","Schweiz",3298707
"2021","Oktober","Schweiz",2893907
"2021","November","Schweiz",1745936
"2021","Dezember","Schweiz",2319318
"2022","Januar","Schweiz",2204984
"2022","Februar","Schweiz",2892697
"2022","Marz","Schweiz",3053960
"2022","April","Schweiz",2523861
"2022","Mai","Schweiz",2820085
"2022","Juni","Schweiz",3608503
"2022","Juli","Schweiz",4515171
"2022","August","Schweiz",4514339
"2022","September","Schweiz",3779348
"2022","Oktober","Schweiz",3238618
"2022","November","Schweiz",2110564
"2022","Dezember","Schweiz",2979015
