"CubeId";"zimoma"
"PublishingDate";"2023-11-01 14:30"

"Date";"D0";"Value"
"2008-01";"SARON";"2.241335"
"2008-01";"1TGT";"2.38"
"2008-01";"EG3M";"2.085"
"2008-01";"3M0";"2.65333"
"2008-01";"SOFR";
"2008-01";"3M1";"3.11188"
"2008-01";"TONA";"0.508"
"2008-01";"3M2";"0.87375"
"2008-01";"SONIA";"5.5156"
"2008-01";"3M3";"5.58"
"2008-01";"ESTR";
"2008-01";"EURIBOR";"4.374"
"2008-02";"SARON";"2.240998"
"2008-02";"1TGT";"2.32"
"2008-02";"EG3M";"2.104"
"2008-02";"3M0";"2.79667"
"2008-02";"SOFR";
"2008-02";"3M1";"3.0575"
"2008-02";"TONA";"0.512"
"2008-02";"3M2";"0.9625"
"2008-02";"SONIA";"5.2976"
"2008-02";"3M3";"5.73875"
"2008-02";"ESTR";
"2008-02";"EURIBOR";"4.384"
"2008-03";"SARON";"1.894609"
"2008-03";"1TGT";"2.62"
"2008-03";"EG3M";"1.585"
"2008-03";"3M0";"2.885"
"2008-03";"SOFR";
"2008-03";"3M1";"2.68813"
"2008-03";"TONA";"0.641"
"2008-03";"3M2";"0.91375"
"2008-03";"SONIA";"5.4267"
"2008-03";"3M3";"6.00813"
"2008-03";"ESTR";
"2008-03";"EURIBOR";"4.727"
"2008-04";"SARON";"1.850478"
"2008-04";"1TGT";"1.83"
"2008-04";"EG3M";"1.502"
"2008-04";"3M0";"2.80833"
"2008-04";"SOFR";
"2008-04";"3M1";"2.85"
"2008-04";"TONA";"0.522"
"2008-04";"3M2";"0.92281"
"2008-04";"SONIA";"5.0476"
"2008-04";"3M3";"5.83875"
"2008-04";"ESTR";
"2008-04";"EURIBOR";"4.857"
"2008-05";"SARON";"1.796851"
"2008-05";"1TGT";"1.95"
"2008-05";"EG3M";"1.485"
"2008-05";"3M0";"2.7775"
"2008-05";"SOFR";
"2008-05";"3M1";"2.68063"
"2008-05";"TONA";"0.527"
"2008-05";"3M2";"0.91875"
"2008-05";"SONIA";"5.0654"
"2008-05";"3M3";"5.86688"
"2008-05";"ESTR";
"2008-05";"EURIBOR";"4.864"
"2008-06";"SARON";"1.860357"
"2008-06";"1TGT";"1.82"
"2008-06";"EG3M";"1.788"
"2008-06";"3M0";"2.79"
"2008-06";"SOFR";
"2008-06";"3M1";"2.78313"
"2008-06";"TONA";"0.572"
"2008-06";"3M2";"0.93"
"2008-06";"SONIA";"5.288"
"2008-06";"3M3";"5.94625"
"2008-06";"ESTR";
