DATE,INDCPIALLMINMEI
2005-01-01,43.6141174175327
2005-02-01,43.5312008445139
2005-03-01,43.5312008445139
2005-04-01,43.8628671366274
2005-05-01,43.6970339905515
2005-06-01,43.8628671366274
2005-07-01,44.6091162939879
2005-08-01,44.7749494400638
2005-09-01,44.9407825861396
2005-10-01,45.4382820243672
2005-11-01,45.8528648895378
2005-12-01,45.6041151704048
2006-01-01,45.521198597386
2006-02-01,45.521198597386
2006-03-01,45.521198597386
2006-04-01,45.9037296780363
2006-05-01,46.2862607586866
2006-06-01,47.0513229199872
2006-07-01,47.4338540006376
2006-08-01,47.4338540006376
2006-09-01,47.8163850812879
2006-10-01,48.5814472425885
2006-11-01,48.5814472425885
2006-12-01,48.5814472425885
2007-01-01,48.5814472425885
2007-02-01,48.9639783232388
2007-03-01,48.5814472425885
2007-04-01,48.9639783232388
2007-05-01,49.3465094038891
2007-06-01,49.7290404845394
2007-07-01,50.49410264584
2007-08-01,50.8766337264903
2007-09-01,50.8766337264903
2007-10-01,51.2591648071406
2007-11-01,51.2591648071406
2007-12-01,51.2591648071406
2008-01-01,51.2591648071406
2008-02-01,51.6416958877909
2008-03-01,52.4067580490915
2008-04-01,52.7892891297418
2008-05-01,53.1718202103921
2008-06-01,53.5543512910424
2008-07-01,54.7019445329933
2008-08-01,55.4670066942939
2008-09-01,55.8495377749442
2008-10-01,56.6145999362448
2008-11-01,56.6145999362448
2008-12-01,56.2320688555945
2009-01-01,56.6145999362448
2009-02-01,56.6145999362448
2009-03-01,56.6145999362448
2009-04-01,57.3796620975454
2009-05-01,57.7621931781957
2009-06-01,58.5272553394963
2009-07-01,61.2049729040484
2009-08-01,61.9700350653491
2009-09-01,62.3525661459994
2009-10-01,63.1176283073
2009-11-01,64.2652215492509
2009-12-01,64.6477526299012
2010-01-01,65.7953458718521
2010-02-01,65.0302837105515
2010-03-01,65.0302837105515
2010-04-01,65.0302837105515
2010-05-01,65.7953458718521
2010-06-01,66.5604080331527
2010-07-01,68.0905323557539
2010-08-01,68.0905323557539
2010-09-01,68.4730634364042
2010-10-01,69.2381255977048
2010-11-01,69.6206566783551
2010-12-01,70.768249920306
2011-01-01,71.9158431622569
2011-02-01,70.768249920306
2011-03-01,70.768249920306
2011-04-01,71.1507810009563
2011-05-01,71.5333120816066
2011-06-01,72.2983742429072
2011-07-01,73.8284985655084
2011-08-01,74.2110296461587
2011-09-01,75.3586228881097
2011-10-01,75.74115396876
2011-11-01,76.1236850494102
2011-12-01,75.3586228881097
2012-01-01,75.74115396876
2012-02-01,76.1236850494102
2012-03-01,76.8887472107109
2012-04-01,78.4188715333121
2012-05-01,78.8014026139624
2012-06-01,79.566464775263
2012-07-01,81.0965890978642
2012-08-01,81.8616512591648
2012-09-01,82.2441823398151
2012-10-01,83.0092445011157
2012-11-01,83.391775581766
2012-12-01,83.7743066624163
2013-01-01,84.5393688237169
2013-02-01,85.3044309850175
2013-03-01,85.6869620656678
2013-04-01,86.4520242269684
2013-05-01,87.217086388269
2013-06-01,88.36467963022
2013-07-01,89.8948039528212
2013-08-01,90.6598661141218
2013-09-01,91.0423971947721
2013-10-01,92.189990436723
2013-11-01,92.9550525980236
2013-12-01,91.4249282754224
2014-01-01,90.6598661141218
2014-02-01,91.0423971947721
2014-03-01,91.4249282754224
2014-04-01,92.5725215173733
2014-05-01,93.3375836786739
2014-06-01,94.1026458399745
2014-07-01,96.3978323238763
2014-08-01,96.7803634045266
2014-09-01,96.7803634045266
2014-10-01,96.7803634045266
2014-11-01,96.7803634045266
2014-12-01,96.7803634045266
2015-01-01,97.1628944851769
2015-02-01,96.7803634045266
2015-03-01,97.1628944851769
2015-04-01,97.9279566464775
2015-05-01,98.6930188077781
2015-06-01,99.840612049729
2015-07-01,100.60567421103
2015-08-01,100.98820529168
2015-09-01,101.753267452981
2015-10-01,102.900860694931
2015-11-01,103.283391775582
2015-12-01,102.900860694931
2016-01-01,102.900860694931
2016-02-01,102.135798533631
2016-03-01,102.518329614281
2016-04-01,103.665922856232
2016-05-01,105.196047178833
2016-06-01,105.961109340134
2016-07-01,107.108702582085
2016-08-01,106.343640420784
2016-09-01,105.961109340134
2016-10-01,106.343640420784
2016-11-01,105.961109340134
2016-12-01,105.196047178833
2017-01-01,104.813516098183
2017-02-01,104.813516098183
2017-03-01,105.196047178833
2017-04-01,105.961109340134
2017-05-01,106.343640420784
2017-06-01,107.108702582085
2017-07-01,109.021357985336
2017-08-01,109.021357985336
2017-09-01,109.021357985336
2017-10-01,109.786420146637
2017-11-01,110.168951227287
2017-12-01,109.403889065987
2018-01-01,110.168951227287
2018-02-01,109.786420146637
2018-03-01,109.786420146637
2018-04-01,110.168951227287
2018-05-01,110.551482307938
2018-06-01,111.316544469238
2018-07-01,115.141855275741
2018-08-01,115.141855275741
2018-09-01,115.141855275741
2018-10-01,115.524386356391
2018-11-01,115.524386356391
2018-12-01,115.141855275741
2019-01-01,117.437041759643
2019-02-01,117.437041759643
2019-03-01,118.202103920944
2019-04-01,119.349697162894
2019-05-01,120.114759324195
2019-06-01,120.879821485496
2019-07-01,122.027414727447
2019-08-01,122.409945808097
2019-09-01,123.175007969398
2019-10-01,124.322601211348
2019-11-01,125.470194453299
2019-12-01,126.2352566146
2020-01-01,126.2352566146
2020-02-01,125.470194453299
2020-03-01,124.705132291999
2020-04-01,125.85272553395
2020-05-01,126.2352566146
2020-06-01,127.000318775901
2020-07-01,128.530443098502
2020-08-01,129.295505259802
2020-09-01,130.117858942398
2020-10-01,131.660322977279
2020-11-01,132.101026987245
2020-12-01,130.889090959839
2021-01-01,130.22803494489
2021-02-01,131.109442964822
2021-03-01,131.77049897977
2021-04-01,132.321378992227
2021-05-01,132.872259004685
2021-06-01,134.084195032091
2021-07-01,135.296131059496
2021-08-01,135.516483064479
2021-09-01,135.847011071954
2021-10-01,137.609827111817
2021-11-01,138.491235131748
2021-12-01,138.160707124274
2022-01-01,137.8301791168
2022-02-01,137.720003114308
2022-03-01,138.821763139223
2022-04-01,140.694755181577
2022-05-01,142.127043213966
2022-06-01,142.347395218949
2022-07-01,143.118627236389
2022-08-01,143.449155243864
2022-09-01,144.66109127127
2022-10-01,145.983203301167
2022-11-01,145.983203301167
2022-12-01,145.762851296184
