"CubeId";"amarbma"
"PublishingDate";"2023-10-23 09:00"

"Date";"D0";"Value"
"2005-01";"T1";"4.1052063"
"2005-02";"T1";"4.06515044"
"2005-03";"T1";"3.94429879"
"2005-04";"T1";"3.81736656"
"2005-05";"T1";"3.68306162"
"2005-06";"T1";"3.56375545"
"2005-07";"T1";"3.5445256"
"2005-08";"T1";"3.6067756"
"2005-09";"T1";"3.6161245"
"2005-10";"T1";"3.65002376"
"2005-11";"T1";"3.71832901"
"2005-12";"T1";"3.84505856"
"2006-01";"T1";"3.90687785"
"2006-02";"T1";"3.8028745"
"2006-03";"T1";"3.62932444"
"2006-04";"T1";"3.45478628"
"2006-05";"T1";"3.28062817"
"2006-06";"T1";"3.1121706"
"2006-07";"T1";"3.08399722"
"2006-08";"T1";"3.11817518"
"2006-09";"T1";"3.08782292"
"2006-10";"T1";"3.11034642"
"2006-11";"T1";"3.14500576"
"2006-12";"T1";"3.25767395"
"2007-01";"T1";"3.32043067"
"2007-02";"T1";"3.20231528"
"2007-03";"T1";"2.98746791"
"2007-04";"T1";"2.85861016"
"2007-05";"T1";"2.69065931"
"2007-06";"T1";"2.52802897"
"2007-07";"T1";"2.5279783"
"2007-08";"T1";"2.55275668"
"2007-09";"T1";"2.52549539"
"2007-10";"T1";"2.58523715"
"2007-11";"T1";"2.65569594"
"2007-12";"T1";"2.76190351"
"2008-01";"T1";"2.8344905"
"2008-02";"T1";"2.74784215"
"2008-03";"T1";"2.62927072"
"2008-04";"T1";"2.55587298"
"2008-05";"T1";"2.41110437"
"2008-06";"T1";"2.31764069"
"2008-07";"T1";"2.33502103"
"2008-08";"T1";"2.38255095"
"2008-09";"T1";"2.43172769"
"2008-10";"T1";"2.54551065"
"2008-11";"T1";"2.72744685"
"2008-12";"T1";"3.00892731"
"2009-01";"T1";"3.25387359"
"2009-02";"T1";"3.35450728"
"2009-03";"T1";"3.41305826"
"2009-04";"T1";"3.46362847"
"2009-05";"T1";"3.42357261"
"2009-06";"T1";"3.55341845"
"2009-07";"T1";"3.6829096"
"2009-08";"T1";"3.82142028"
"2009-09";"T1";"3.91207169"
"2009-10";"T1";"4.00654879"
"2009-11";"T1";"4.15380032"
"2009-12";"T1";"4.37650178"
"2010-01";"T1";"4.06590577"
"2010-02";"T1";"4.00192093"
"2010-03";"T1";"3.84075594"
"2010-04";"T1";"3.66814029"
