Month,Total Travel and Tourism-Related Imports,Year
November,"$11375000000,0",2013
November,"$11472000000,0",2016
November,"$11780000000,0",2014
November,"$12612000000,0",2015
November,"$14121000000,0",2017
November,"$15251000000,0",2018
November,"$15359000000,0",2019
November,"$16052000000,0",2022
December,"$3536000000,0",2020
December,"$8311000000,0",2005
December,"$9059000000,0",2006
December,"$9612000000,0",2021
December,"$9789000000,0",2007
December,"$10070000000,0",2008
December,"$10203000000,0",2009
December,"$10479000000,0",2010
December,"$10990000000,0",2012
December,"$11394000000,0",2013
December,"$11404000000,0",2011
December,"$11559000000,0",2014
December,"$12294000000,0",2016
December,"$12382000000,0",2015
December,"$14384000000,0",2017
December,"$15122000000,0",2018
December,"$15556000000,0",2019
December,"$16422000000,0",2022
